Id,Rank,Year,0,Age Category,AttendanceIn2015
7358,711.0,10,1,28,0
16655,675.0,6,1,52,0
17535,1035.0,5,1,29,0
17933,1403.0,5,1,46,0
15991,2600.0,6,1,34,0
9208,1849.0,9,1,37,0
9368,2346.0,9,1,37,0
22069,2927.0,4,1,44,0
19143,1060.0,5,1,32,0
18567,194.0,5,1,45,0
19352,3275.0,5,1,22,0
4932,761.0,12,1,54,0
8215,1503.0,10,1,19,0
27439,1718.0,2,1,44,0
30115,591.0,1,1,35,1
21240,3074.0,4,1,32,0
3910,954.0,13,1,39,0
13187,2615.0,8,1,28,0
27524,1171.0,2,1,37,0
3157,200.0,13,1,33,0
14960,884.0,7,1,30,0
3291,1088.0,11,3,43,0
11433,1512.0,8,1,43,0
29543,36.0,1,1,30,1
5844,802.333333333,5,3,35,0
3269,797.0,13,1,43,0
27375,1405.0,2,1,26,0
13291,2166.0,5,2,38,0
29425,48.0,1,1,25,1
16003,2487.0,4,3,43,0
28199,2204.0,2,1,35,0
15263,2383.0,7,1,39,0
13864,2248.0,7,1,42,0
3724,1239.0,13,1,67,0
22793,2416.0,2,2,53,0
7851,1041.5,9,2,31,0
11640,1006.0,8,1,57,0
28934,2255.0,1,1,40,1
21315,1415.0,4,1,24,0
5763,484.0,12,1,34,0
5068,849.0,12,1,24,0
27344,605.0,2,1,58,0
17469,2857.0,5,1,38,0
14708,1526.66666667,1,3,32,1
18077,2940.0,5,1,28,0
15665,2184.0,6,1,41,0
10933,2114.5,8,2,54,0
15105,2664.0,7,1,34,0
4336,1551.0,11,2,54,0
4274,294.0,13,1,45,0
21363,303.0,4,1,32,0
6950,72.0,11,1,29,0
14256,2537.0,7,1,63,0
13947,1657.0,7,1,41,0
28520,3321.0,2,1,26,0
6468,1533.0,11,1,33,0
8548,719.0,10,1,44,0
6843,645.0,11,1,42,0
15625,2741.0,6,1,36,0
26071,2611.0,2,1,43,0
20971,521.0,4,1,49,0
3518,1101.0,13,1,32,0
16725,1772.0,6,1,39,0
8593,71.0,10,1,40,0
20623,959.0,4,1,52,0
5584,290.0,12,1,44,0
9428,2041.0,9,1,48,0
21328,3878.0,4,1,29,0
19108,773.0,5,1,40,0
10811,135.0,5,2,40,0
18654,679.0,5,1,43,0
29782,1269.0,1,1,40,1
14920,1341.0,7,1,24,0
26736,278.0,2,1,40,0
9130,2239.5,9,2,53,0
7205,871.0,11,1,49,0
4884,119.0,12,1,46,0
7165,798.0,11,1,42,0
18433,795.0,5,1,33,0
9158,840.0,10,1,37,0
6058,1118.0,11,1,26,0
4446,578.0,12,1,38,0
16328,1543.0,5,2,45,0
9700,556.0,9,1,46,0
11035,1962.0,9,1,28,0
28662,577.0,1,1,40,1
18200,2720.0,5,1,23,0
3373,1165.66666667,10,3,45,0
21508,2084.0,4,1,39,0
3251,575.0,13,1,32,0
11337,2243.0,8,1,49,0
15975,2834.0,6,1,42,0
17902,3344.0,5,1,0,0
4419,691.0,13,1,28,0
13970,901.0,7,1,54,0
19565,3210.0,5,1,46,0
17131,815.0,6,1,35,0
26743,3203.0,2,1,34,0
